ping_id,timestamp,latitude,longitude,heading,altitude_m,speed_knots
1,2026-09-21T10:00:00+00:00,13.082701,80.385001,45.00,10.03,3.50
2,2026-09-21T10:00:00.100000+00:00,13.082702,80.385002,45.03,9.98,3.50
3,2026-09-21T10:00:00.200000+00:00,13.082703,80.385004,45.05,10.04,3.50
4,2026-09-21T10:00:00.300000+00:00,13.082705,80.385005,45.08,10.04,3.51
5,2026-09-21T10:00:00.400000+00:00,13.082706,80.385006,45.11,10.06,3.51
6,2026-09-21T10:00:00.500000+00:00,13.082707,80.385007,45.13,10.14,3.51
7,2026-09-21T10:00:00.600000+00:00,13.082708,80.385008,45.16,10.08,3.51
8,2026-09-21T10:00:00.700000+00:00,13.082709,80.385009,45.18,10.27,3.52
9,2026-09-21T10:00:00.800000+00:00,13.082710,80.385011,45.21,10.14,3.52
10,2026-09-21T10:00:00.900000+00:00,13.082711,80.385012,45.24,10.11,3.52
11,2026-09-21T10:00:01+00:00,13.082713,80.385013,45.26,10.15,3.52
12,2026-09-21T10:00:01.100000+00:00,13.082714,80.385014,45.29,10.14,3.53
13,2026-09-21T10:00:01.200000+00:00,13.082715,80.385015,45.31,10.18,3.53
14,2026-09-21T10:00:01.300000+00:00,13.082716,80.385016,45.34,10.25,3.53
15,2026-09-21T10:00:01.400000+00:00,13.082717,80.385018,45.36,10.11,3.53
16,2026-09-21T10:00:01.500000+00:00,13.082718,80.385019,45.38,10.23,3.54
17,2026-09-21T10:00:01.600000+00:00,13.082719,80.385020,45.41,10.27,3.54
18,2026-09-21T10:00:01.700000+00:00,13.082721,80.385021,45.43,10.16,3.54
19,2026-09-21T10:00:01.800000+00:00,13.082722,80.385022,45.45,10.25,3.54
20,2026-09-21T10:00:01.900000+00:00,13.082723,80.385023,45.47,10.23,3.55
21,2026-09-21T10:00:02+00:00,13.082724,80.385025,45.49,10.23,3.55
22,2026-09-21T10:00:02.100000+00:00,13.082725,80.385026,45.52,10.14,3.55
23,2026-09-21T10:00:02.200000+00:00,13.082726,80.385027,45.54,10.30,3.55
24,2026-09-21T10:00:02.300000+00:00,13.082727,80.385028,45.55,10.30,3.55
25,2026-09-21T10:00:02.400000+00:00,13.082729,80.385029,45.57,10.25,3.56
26,2026-09-21T10:00:02.500000+00:00,13.082730,80.385031,45.59,10.28,3.56
27,2026-09-21T10:00:02.600000+00:00,13.082731,80.385032,45.61,10.41,3.56
28,2026-09-21T10:00:02.700000+00:00,13.082732,80.385033,45.63,10.33,3.56
29,2026-09-21T10:00:02.800000+00:00,13.082733,80.385034,45.64,10.33,3.56
30,2026-09-21T10:00:02.900000+00:00,13.082734,80.385035,45.66,10.30,3.57
31,2026-09-21T10:00:03+00:00,13.082735,80.385036,45.67,10.26,3.57
32,2026-09-21T10:00:03.100000+00:00,13.082737,80.385038,45.69,10.26,3.57
33,2026-09-21T10:00:03.200000+00:00,13.082738,80.385039,45.70,10.33,3.57
34,2026-09-21T10:00:03.300000+00:00,13.082739,80.385040,45.71,10.33,3.57
35,2026-09-21T10:00:03.400000+00:00,13.082740,80.385041,45.72,10.37,3.58
36,2026-09-21T10:00:03.500000+00:00,13.082741,80.385042,45.74,10.34,3.58
37,2026-09-21T10:00:03.600000+00:00,13.082742,80.385043,45.75,10.36,3.58
38,2026-09-21T10:00:03.700000+00:00,13.082743,80.385045,45.75,10.29,3.58
39,2026-09-21T10:00:03.800000+00:00,13.082745,80.385046,45.76,10.33,3.58
40,2026-09-21T10:00:03.900000+00:00,13.082746,80.385047,45.77,10.30,3.58
41,2026-09-21T10:00:04+00:00,13.082747,80.385048,45.78,10.29,3.58
42,2026-09-21T10:00:04.100000+00:00,13.082748,80.385049,45.78,10.37,3.59
43,2026-09-21T10:00:04.200000+00:00,13.082749,80.385050,45.79,10.36,3.59
44,2026-09-21T10:00:04.300000+00:00,13.082750,80.385052,45.79,10.42,3.59
45,2026-09-21T10:00:04.400000+00:00,13.082751,80.385053,45.80,10.31,3.59
46,2026-09-21T10:00:04.500000+00:00,13.082753,80.385054,45.80,10.35,3.59
47,2026-09-21T10:00:04.600000+00:00,13.082754,80.385055,45.80,10.37,3.59
48,2026-09-21T10:00:04.700000+00:00,13.082755,80.385056,45.80,10.35,3.59
49,2026-09-21T10:00:04.800000+00:00,13.082756,80.385058,45.80,10.38,3.59
50,2026-09-21T10:00:04.900000+00:00,13.082757,80.385059,45.80,10.41,3.59
51,2026-09-21T10:00:05+00:00,13.082758,80.385060,45.80,10.29,3.59
52,2026-09-21T10:00:05.100000+00:00,13.082759,80.385061,45.79,10.31,3.60
53,2026-09-21T10:00:05.200000+00:00,13.082761,80.385062,45.79,10.22,3.60
54,2026-09-21T10:00:05.300000+00:00,13.082762,80.385063,45.78,10.32,3.60
55,2026-09-21T10:00:05.400000+00:00,13.082763,80.385065,45.78,10.24,3.60
56,2026-09-21T10:00:05.500000+00:00,13.082764,80.385066,45.77,10.31,3.60
57,2026-09-21T10:00:05.600000+00:00,13.082765,80.385067,45.77,10.33,3.60
58,2026-09-21T10:00:05.700000+00:00,13.082766,80.385068,45.76,10.31,3.60
59,2026-09-21T10:00:05.800000+00:00,13.082767,80.385069,45.75,10.20,3.60
60,2026-09-21T10:00:05.900000+00:00,13.082769,80.385070,45.74,10.34,3.60
61,2026-09-21T10:00:06+00:00,13.082770,80.385072,45.73,10.27,3.60
62,2026-09-21T10:00:06.100000+00:00,13.082771,80.385073,45.72,10.30,3.60
63,2026-09-21T10:00:06.200000+00:00,13.082772,80.385074,45.70,10.23,3.60
64,2026-09-21T10:00:06.300000+00:00,13.082773,80.385075,45.69,10.19,3.60
65,2026-09-21T10:00:06.400000+00:00,13.082774,80.385076,45.68,10.17,3.60
66,2026-09-21T10:00:06.500000+00:00,13.082775,80.385077,45.66,10.22,3.60
67,2026-09-21T10:00:06.600000+00:00,13.082777,80.385079,45.65,10.23,3.60
68,2026-09-21T10:00:06.700000+00:00,13.082778,80.385080,45.63,10.10,3.60
69,2026-09-21T10:00:06.800000+00:00,13.082779,80.385081,45.61,10.02,3.60
70,2026-09-21T10:00:06.900000+00:00,13.082780,80.385082,45.60,10.06,3.60
71,2026-09-21T10:00:07+00:00,13.082781,80.385083,45.58,10.12,3.60
72,2026-09-21T10:00:07.100000+00:00,13.082782,80.385085,45.56,10.07,3.60
