ping_id,timestamp,latitude,longitude,heading,altitude_m,speed_knots
1,2026-09-21T14:00:00.100000+00:00,13.082700,80.270702,90.0,12.01,3.80
2,2026-09-21T14:00:00.200000+00:00,13.082700,80.270704,90.0,12.02,3.80
3,2026-09-21T14:00:00.300000+00:00,13.082700,80.270705,90.0,12.04,3.80
4,2026-09-21T14:00:00.400000+00:00,13.082700,80.270707,90.0,12.05,3.80
5,2026-09-21T14:00:00.500000+00:00,13.082700,80.270709,90.0,12.06,3.80
6,2026-09-21T14:00:00.600000+00:00,13.082700,80.270711,90.0,12.07,3.80
7,2026-09-21T14:00:00.700000+00:00,13.082700,80.270713,90.0,12.09,3.80
8,2026-09-21T14:00:00.800000+00:00,13.082700,80.270714,90.0,12.10,3.80
9,2026-09-21T14:00:00.900000+00:00,13.082700,80.270716,90.0,12.11,3.80
10,2026-09-21T14:00:01+00:00,13.082700,80.270718,90.0,12.12,3.80
11,2026-09-21T14:00:01.100000+00:00,13.082700,80.270720,90.0,12.13,3.80
12,2026-09-21T14:00:01.200000+00:00,13.082700,80.270722,90.0,12.14,3.80
13,2026-09-21T14:00:01.300000+00:00,13.082700,80.270723,90.0,12.15,3.80
14,2026-09-21T14:00:01.400000+00:00,13.082700,80.270725,90.0,12.16,3.80
15,2026-09-21T14:00:01.500000+00:00,13.082700,80.270727,90.0,12.17,3.80
16,2026-09-21T14:00:01.600000+00:00,13.082700,80.270729,90.0,12.18,3.80
17,2026-09-21T14:00:01.700000+00:00,13.082700,80.270731,90.0,12.19,3.80
18,2026-09-21T14:00:01.800000+00:00,13.082700,80.270732,90.0,12.20,3.80
19,2026-09-21T14:00:01.900000+00:00,13.082700,80.270734,90.0,12.20,3.80
20,2026-09-21T14:00:02+00:00,13.082700,80.270736,90.0,12.21,3.80
21,2026-09-21T14:00:02.100000+00:00,13.082700,80.270738,90.0,12.22,3.80
22,2026-09-21T14:00:02.200000+00:00,13.082700,80.270740,90.0,12.22,3.80
23,2026-09-21T14:00:02.300000+00:00,13.082700,80.270741,90.0,12.23,3.80
24,2026-09-21T14:00:02.400000+00:00,13.082700,80.270743,90.0,12.23,3.80
25,2026-09-21T14:00:02.500000+00:00,13.082700,80.270745,90.0,12.24,3.80
26,2026-09-21T14:00:02.600000+00:00,13.082700,80.270747,90.0,12.24,3.80
27,2026-09-21T14:00:02.700000+00:00,13.082700,80.270749,90.0,12.24,3.80
28,2026-09-21T14:00:02.800000+00:00,13.082700,80.270750,90.0,12.25,3.80
29,2026-09-21T14:00:02.900000+00:00,13.082700,80.270752,90.0,12.25,3.80
30,2026-09-21T14:00:03+00:00,13.082700,80.270754,90.0,12.25,3.80
31,2026-09-21T14:00:03.100000+00:00,13.082700,80.270756,90.0,12.25,3.80
32,2026-09-21T14:00:03.200000+00:00,13.082700,80.270758,90.0,12.25,3.80
33,2026-09-21T14:00:03.300000+00:00,13.082700,80.270759,90.0,12.25,3.80
34,2026-09-21T14:00:03.400000+00:00,13.082700,80.270761,90.0,12.25,3.80
35,2026-09-21T14:00:03.500000+00:00,13.082700,80.270763,90.0,12.25,3.80
36,2026-09-21T14:00:03.600000+00:00,13.082700,80.270765,90.0,12.24,3.80
37,2026-09-21T14:00:03.700000+00:00,13.082700,80.270767,90.0,12.24,3.80
38,2026-09-21T14:00:03.800000+00:00,13.082700,80.270769,90.0,12.24,3.80
39,2026-09-21T14:00:03.900000+00:00,13.082700,80.270770,90.0,12.23,3.80
40,2026-09-21T14:00:04+00:00,13.082700,80.270772,90.0,12.23,3.80
41,2026-09-21T14:00:04.100000+00:00,13.082700,80.270774,90.0,12.22,3.80
42,2026-09-21T14:00:04.200000+00:00,13.082700,80.270776,90.0,12.22,3.80
43,2026-09-21T14:00:04.300000+00:00,13.082700,80.270778,90.0,12.21,3.80
44,2026-09-21T14:00:04.400000+00:00,13.082700,80.270779,90.0,12.20,3.80
45,2026-09-21T14:00:04.500000+00:00,13.082700,80.270781,90.0,12.19,3.80
46,2026-09-21T14:00:04.600000+00:00,13.082700,80.270783,90.0,12.19,3.80
47,2026-09-21T14:00:04.700000+00:00,13.082700,80.270785,90.0,12.18,3.80
48,2026-09-21T14:00:04.800000+00:00,13.082700,80.270787,90.0,12.17,3.80
49,2026-09-21T14:00:04.900000+00:00,13.082700,80.270788,90.0,12.16,3.80
50,2026-09-21T14:00:05+00:00,13.082700,80.270790,90.0,12.15,3.80
51,2026-09-21T14:00:05.100000+00:00,13.082700,80.270792,90.0,12.14,3.80
52,2026-09-21T14:00:05.200000+00:00,13.082700,80.270794,90.0,12.13,3.80
53,2026-09-21T14:00:05.300000+00:00,13.082700,80.270796,90.0,12.12,3.80
54,2026-09-21T14:00:05.400000+00:00,13.082700,80.270797,90.0,12.11,3.80
55,2026-09-21T14:00:05.500000+00:00,13.082700,80.270799,90.0,12.10,3.80
56,2026-09-21T14:00:05.600000+00:00,13.082700,80.270801,90.0,12.08,3.80
57,2026-09-21T14:00:05.700000+00:00,13.082700,80.270803,90.0,12.07,3.80
58,2026-09-21T14:00:05.800000+00:00,13.082700,80.270805,90.0,12.06,3.80
59,2026-09-21T14:00:05.900000+00:00,13.082700,80.270806,90.0,12.05,3.80
60,2026-09-21T14:00:06+00:00,13.082700,80.270808,90.0,12.04,3.80
61,2026-09-21T14:00:06.100000+00:00,13.082700,80.270810,90.0,12.02,3.80
62,2026-09-21T14:00:06.200000+00:00,13.082700,80.270812,90.0,12.01,3.80
63,2026-09-21T14:00:06.300000+00:00,13.082700,80.270814,90.0,12.00,3.80
64,2026-09-21T14:00:06.400000+00:00,13.082700,80.270815,90.0,11.99,3.80
65,2026-09-21T14:00:06.500000+00:00,13.082700,80.270817,90.0,11.97,3.80
66,2026-09-21T14:00:06.600000+00:00,13.082700,80.270819,90.0,11.96,3.80
67,2026-09-21T14:00:06.700000+00:00,13.082700,80.270821,90.0,11.95,3.80
68,2026-09-21T14:00:06.800000+00:00,13.082700,80.270823,90.0,11.94,3.80
69,2026-09-21T14:00:06.900000+00:00,13.082700,80.270824,90.0,11.92,3.80
70,2026-09-21T14:00:07+00:00,13.082700,80.270826,90.0,11.91,3.80
71,2026-09-21T14:00:07.100000+00:00,13.082700,80.270828,90.0,11.90,3.80
72,2026-09-21T14:00:07.200000+00:00,13.082700,80.270830,90.0,11.89,3.80
73,2026-09-21T14:00:07.300000+00:00,13.082700,80.270832,90.0,11.88,3.80
74,2026-09-21T14:00:07.400000+00:00,13.082700,80.270833,90.0,11.87,3.80
75,2026-09-21T14:00:07.500000+00:00,13.082700,80.270835,90.0,11.86,3.80
76,2026-09-21T14:00:07.600000+00:00,13.082700,80.270837,90.0,11.85,3.80
77,2026-09-21T14:00:07.700000+00:00,13.082700,80.270839,90.0,11.84,3.80
78,2026-09-21T14:00:07.800000+00:00,13.082700,80.270841,90.0,11.83,3.80
79,2026-09-21T14:00:07.900000+00:00,13.082700,80.270842,90.0,11.82,3.80
80,2026-09-21T14:00:08+00:00,13.082700,80.270844,90.0,11.81,3.80
81,2026-09-21T14:00:08.100000+00:00,13.082700,80.270846,90.0,11.80,3.80
82,2026-09-21T14:00:08.200000+00:00,13.082700,80.270848,90.0,11.80,3.80
83,2026-09-21T14:00:08.300000+00:00,13.082700,80.270850,90.0,11.79,3.80
84,2026-09-21T14:00:08.400000+00:00,13.082700,80.270851,90.0,11.78,3.80
85,2026-09-21T14:00:08.500000+00:00,13.082700,80.270853,90.0,11.78,3.80
86,2026-09-21T14:00:08.600000+00:00,13.082700,80.270855,90.0,11.77,3.80
87,2026-09-21T14:00:08.700000+00:00,13.082700,80.270857,90.0,11.77,3.80
